id,resolution_date,source,Type,resolved_to,resolved,SPF_forecast,SPF_bs,Pub_forecast,Pub_bs,M22B_0S,M22B_Reas,M22B_News,M22B_spf1,M22B_spf2,M22B_spf3,BS M22B_0S,BS M22B_Reas,BS M22B_News,BS M22B_spf1,BS M22B_spf2,BS M22B_spf3
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2024-07-28,acled,Data,0.0,True,0.0,0.0,0.05,0.0025,0.01,0.05,0.1,0.01,0.05,0.1,0.0001,0.0025000000000000005,0.010000000000000002,0.0001,0.0025000000000000005,0.010000000000000002
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2024-08-20,acled,Data,0.0,True,0.0,0.0,0.07,0.0049,0.01,0.05,0.1,0.01,0.05,0.1,0.0001,0.0025000000000000005,0.010000000000000002,0.0001,0.0025000000000000005,0.010000000000000002
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2024-10-19,acled,Data,0.0,True,0.0,0.0,0.08,0.0064,0.01,0.05,0.1,0.01,0.05,0.1,0.0001,0.0025000000000000005,0.010000000000000002,0.0001,0.0025000000000000005,0.010000000000000002
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2025-01-17,acled,Data,0.0,True,0.0,0.0,0.08,0.0064,0.01,0.05,0.1,0.01,0.05,0.1,0.0001,0.0025000000000000005,0.010000000000000002,0.0001,0.0025000000000000005,0.010000000000000002
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2025-07-21,acled,Data,0.0,True,0.0,0.0,0.09,0.0081,0.01,0.05,0.1,0.01,0.05,0.1,0.0001,0.0025000000000000005,0.010000000000000002,0.0001,0.0025000000000000005,0.010000000000000002
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2024-07-28,acled,Data,0.0,True,0.055,0.003025,0.1,0.01,0.5,0.2,0.4,0.57,0.65,0.5,0.25,0.04000000000000001,0.16000000000000003,0.32489999999999997,0.42250000000000004,0.25
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2024-08-20,acled,Data,1.0,True,0.155,0.7140249999999999,0.1,0.81,0.5,0.2,0.4,0.57,0.65,0.5,0.25,0.6400000000000001,0.36,0.18490000000000004,0.12249999999999998,0.25
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2024-10-19,acled,Data,1.0,True,0.16,0.7055999999999999,0.15,0.7224999999999999,0.5,0.2,0.4,0.57,0.65,0.5,0.25,0.6400000000000001,0.36,0.18490000000000004,0.12249999999999998,0.25
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2025-01-17,acled,Data,1.0,True,0.35,0.4225,0.18,0.6724000000000001,0.5,0.2,0.4,0.57,0.65,0.5,0.25,0.6400000000000001,0.36,0.18490000000000004,0.12249999999999998,0.25
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2025-07-21,acled,Data,0.0,True,0.16,0.0256,0.16,0.0256,0.5,0.2,0.4,0.57,0.65,0.5,0.25,0.04000000000000001,0.16000000000000003,0.32489999999999997,0.42250000000000004,0.25
